"","Code","GLOSS_ID","Country","Location","Connection","DCP_ID","Last_observationLevel","Last_Observation_Time_in_GMT","Delay","TransmitInterval","View_","long","lat"
"1016","omae","","Japan","Omaezaki ","SWJP40","OMAEZAKI","2.72","07:19","2h","10'","  [open]  ","138.22","34.61"
"1017","onsa","","Sweden","Onsala ","web","","0.03","07:00","2h","1h","  [open]  ","11.919167","57.391944"
"1018","OR24","","Italy","Ortona ","web","","-0.07","07:23","2h","5'","  [open]  ","14.414861111111","42.3559"
"1021","osca","","Norway","Oscarsborg ","web","","0.7","07:20","2h","10'","  [open]  ","10.604861","59.678073"
"1022","oska","","Sweden","Oskarshamn ","web","","0.16","07:00","2h","1h","  [open]  ","16.478056","57.275"
"1023","oslo","","Norway","Oslo ","web","","0.69","07:20","2h","10'","  [open]  ","10.73451","59.908559"
"1024","oste","","Belgium","Ostend ","ftp","","0.69","07:20","2h","15'","  [open]  ","2.926680556","51.23428611"
"1025","oste1","","Belgium","Oostende Haven ","web","","0.65","07:15","2h","5'","  [open]  ","2.926680556","51.23428611"
"1026","OT15","","Italy","Otranto ","web","","-0.17","07:23","2h","5'","  [open]  ","18.4969","40.1464"
"1027","otat","","New Zealand","Dunedin ","SZNZ01","OTAT","4.53","07:22","2h","3'","  [open]  ","170.6294","-45.8143"
"1028","ouin","","France","Ouinne, New Caledonia ","SZNC43","06522C44","1.52","07:21","2h","6'","  [open]  ","166.68327646","-21.9828778"
"1029","ouin2","","France","Ouinn2, New Caledonia ","ftp","","1.51","07:25","2h","5'","  [open]  ","166.68327646","-21.9828778"
"1030","ouis","","France","Ouistreham ","ftp","","5.69","07:24","2h","5'","  [open]  ","-0.24903","49.27936"
"1031","ouis2","","France","Ouistreham 2 ","SZFR01","FR311","5.42","07:17","2h","6'","  [open]  ","-0.24903","49.27936"
"1032","ouve","","France","Ouvea ","SZNC45","06523F32","0.78","2024-02-04 09:37","212d","6'","  [open]  ","166.561867","-20.549816"
"1033","ouve2","","France","Ouvea 2 ","ftp","","1.46","2024-02-15 00:45","201d","5'","  [open]  ","166.561867","-20.459816"
"1034","oxel","","Sweden","Oxelosund Vinterklasen ","web","","0.11","07:00","2h","1h","  [open]  ","17.124722","58.661667"
"1035","PA07","","Italy","Palermo ","web","","0.36","07:23","2h","5'","  [open]  ","13.3713","38.1214"
"1036","paak","","USA","Port Alexander AK ","SXXX03","3360C394","-5.97","07:23","2h","6'","  [open]  ","-134.6467","56.2467"
"1037","paak2","","USA","Port Alexander ","web","","2.43","07:35","2h","6'","  [open]  ","-134.6467","56.2467"
"1038","pada","45","Indonesia","Padang ","SZID50","06510374","-999","2024-08-07 02:58","27d","6'","  [open]  ","100.3667","-0.95"
"1040","pagb","","USA","Pago Bay, Guam ","web","","0.5","07:30","2h","6'","  [open]  ","144.797","13.4283"
"1041","pagi","","Chile","Puerto Aguirre CL ","SXCH40","ADC0063E","6.72","07:23","2h","5'","  [open]  ","-73.521111","-45.164573"
"1042","pagi2","","Chile","Puerto Aguire CL ","web","","6.92","07:20","2h","5'","  [open]  ","-73.521111","-45.164573"
"1043","pago","144","Samoa","Pago Pago AS ","web","336015FC","0.72","07:33","2h","6'","  [open]  ","-170.6907","-14.2766"
"1045","pagx","144","Samoa","Pago Pago AS ","SZPA37","NSTP6","0.78","07:15","2h","6'","  [open]  ","-170.6907","-14.2766"
"1046","paita","","Perú","Paita,Piura PE ","web","","1.58","07:30","2h","10'","  [open]  ","-81.1075","-5.08361"
"1047","palb","","Canada","Port Alberni ","SXAK50","15C3B04A","2.98","07:25","2h","5'","  [open]  ","-124.8137","49.2256"
"1048","pale","","Greece","Paleochora, Crete Island ","bgan","GR-PALE-00","0.01","2024-02-27 16:44","189d","1'","  [open]  ","23.68351","35.230186"
"1049","pall","","USA","Port Allen, HI ","SZXX01","US-HI-PORTALLEN","0.13","07:20","2h","5'","  [open]  ","-159.589713","21.902034"
"1050","palm","","Spain","PalmadeMallorca ","ftp","","0.08","07:22","2h","4'","  [open]  ","2.63748","39.56015"
"1051","palm1","329","Cabo Verde","Palmeira ","SXXX33","26D6F7A6","6.53","07:15","2h","15'","  [open]  ","-22.9833","16.755"
"1052","pana","","Indonesia","Pangandaran ","SXXX33","22F96330","-999","2019-06-12 06:42","1910d","15'","  [open]  ","108.5013","-7.7484"
"1054","pang","","USA","Port Angeles WA ","SXXX03","336B73B2","","","","6'","  [open]  ","-123.44","48.125"
"1055","pano","","Greece","Panormos, Central Greece ","bgan","GR-PANO-00","0.01","2024-08-21 15:41","13d","1'","  [open]  ","22.253942","38.359995"
"1058","pape","140","France","Papeete (Tahiti, French Polynesia) ","SEPO40","3341D3F6","6.16","2024-08-23 04:46","11d","5'","  [open]  ","-149.572678","-17.533092"
"1059","pape2","","Polynésie Française ","Papeete (Tahiti, Fare Ute, Shom) ","SEHI40","FAA031C8","0.01","07:23","2h","15'","  [open]  ","-149.573165","-17.53237"
"1061","papo","","Chile","Paposo CL ","SXCH40","ADC285DE","3.29","07:22","2h","5'","  [open]  ","-70.468728","-25.008982"
"1062","papo2","","Chile","Paposo CL ","web","","4","2024-09-02 14:11","19h","5'","  [open]  ","-70.468728","-25.008982"
"1064","parh","","Antigua","Parham (Camp Blizard), Antigua ","SOAT10","14022214","0.4","2021-04-09 22:43","1242d","1h","  [open]  ","-61.7833","17.15"
"1065","pata","","Chile","Patache CL ","SXCH40","ADC07E7C","3.3","07:24","2h","5'","  [open]  ","-70.198029","-20.803213"
"1066","pata2","","Chile","Patache CL ","web","","3.27","07:23","2h","5'","  [open]  ","-70.198029","-20.803213"
"1067","pbbc","","USA","Patricia Bay BC ","SXAK50","15C85010","","","","5'","  [open]  ","-123.4","48.4"
"1068","pbfl","","USA","PanamaCityBeach FL ","SXXX03","33672252","","","","6'","  [open]  ","-85.878","30.213"
"1071","pbol","","Ecuador","Puerto Bolívar ","web","","2.89","06:59","2h","10'","  [open]  ","-80.00194","-3.25927"
"1073","pcfl","","USA","Panama City FL ","SXXX03","335E54EE","","","","6'","  [open]  ","-85.667","30.152"
"1074","pcha","","Chile","Puerto Chacabuco CL ","SXCH40","ADC020D2","6.79","07:23","2h","5'","  [open]  ","-72.820045","-45.467076"
"1075","pcha2","","Chile","Puerto Chacabuco CL ","web","","6.9","07:22","2h","10'","  [open]  ","-72.820045","-45.467076"
"1076","pchi","","USA","Port Chicago CA ","SXXX03","3362961C","","","","6'","  [open]  ","-122.0383","38.0567"
"1079","pcrt","","Nicaragua","Puerto Corinto ","bgan","NI-pcrt-00","34.74","2023-10-31 23:59","307d","1'","  [open]  ","-87.167","12.483"
"1080","pdas","245","Portugal","Ponta Delgada Azor ","SEPO40","354271CC","4.78","07:25","2h","5'","  [open]  ","-25.68","37.73"
